市区町村コード,都道府県,名称（空白なし）,名称,人口　平成27年,人口　平成22年（組替）,平成22年〜27年の人口増減数,平成22年〜27年の人口増減率（％）,面積（km2）,人口密度（1km2当たり）,世帯数　平成27年,世帯数　平成22年（組替）,平成22年〜27年の世帯増減数,平成22年〜27年の世帯増減率（％）
01101,北海道,札幌市中央区,札幌市 中央区,237784,220189,17595,7.9908623955,46.42,5122.4,131598,120741,10857,8.9919745571
01102,北海道,札幌市北区,札幌市 北区,285432,278781,6651,2.3857436482,63.57,4490.0,133522,127440,6082,4.7724419335
01103,北海道,札幌市東区,札幌市 東区,262075,255873,6202,2.4238587112,56.97,4600.2,124424,118939,5485,4.6116076308
01104,北海道,札幌市白石区,札幌市 白石区,209770,204259,5511,2.6980451290,34.47,6085.6,103548,100444,3104,3.0902791605
01105,北海道,札幌市豊平区,札幌市 豊平区,218792,212118,6674,3.1463619306,46.23,4732.7,109439,107179,2260,2.1086220248
01106,北海道,札幌市南区,札幌市 南区,141358,146341,-4983,-3.4050607827,657.48,215.0,61197,62776,-1579,-2.5152924685
01107,北海道,札幌市西区,札幌市 西区,213822,211229,2593,1.2275776527,75.10,2847.2,97677,96421,1256,1.3026207984
01108,北海道,札幌市厚別区,札幌市 厚別区,127826,128492,-666,-0.5183202067,24.38,5243.1,55540,54099,1441,2.6636351873
01109,北海道,札幌市手稲区,札幌市 手稲区,141061,139644,1417,1.0147231532,56.77,2484.8,57206,55050,2156,3.9164396004
01110,北海道,札幌市清田区,札幌市 清田区,115864,116619,-755,-0.6474073693,59.87,1935.3,45047,42759,2288,5.3509202741
01202,北海道,函館市,函館市,266117,279127,-13010,-4.6609607813,677.83,392.6,123968,126180,-2212,-1.7530511967
01203,北海道,小樽市,小樽市,121910,131928,-10018,-7.5935358680,243.83,500.0,55266,57711,-2445,-4.2366273327
01204,北海道,旭川市,旭川市,339797,347095,-7298,-2.1025943906,747.66,454.5,155756,154393,1363,0.8828120446
01205,北海道,室蘭市,室蘭市,88585,94535,-5950,-6.2939651981,80.88,1095.3,43552,45029,-1477,-3.2801083746
01206,北海道,釧路市,釧路市,174804,181169,-6365,-3.5132942170,1362.92,128.3,82111,81015,1096,1.3528358946
01207,北海道,帯広市,帯広市,169389,168057,1332,0.7925882290,619.34,273.5,77679,75474,2205,2.9215358932
01208,北海道,北見市,北見市,120652,125689,-5037,-4.0075106016,1427.41,84.5,55569,56012,-443,-0.7909019496
01209,北海道,夕張市,夕張市,8845,10922,-2077,-19.0166636147,763.07,11.6,4526,5558,-1032,-18.5678301547
01210,北海道,岩見沢市,岩見沢市,84541,90145,-5604,-6.2166509512,481.02,175.8,36156,36723,-567,-1.5439915040
01211,北海道,網走市,網走市,38966,40998,-2032,-4.9563393336,471.00,82.7,17984,18112,-128,-0.7067137809
01212,北海道,留萌市,留萌市,22227,24457,-2230,-9.1180439138,297.83,74.6,10399,11044,-645,-5.8402752626
01213,北海道,苫小牧市,苫小牧市,172794,173320,-526,-0.3034848835,561.57,307.7,78229,76289,1940,2.5429616327
01214,北海道,稚内市,稚内市,36399,39595,-3196,-8.0717262281,761.49,47.8,16501,17343,-842,-4.8549847201
01215,北海道,美唄市,美唄市,23048,26034,-2986,-11.4696166551,277.69,83.0,10175,10992,-817,-7.4326783115
01216,北海道,芦別市,芦別市,14686,16628,-1942,-11.6790955016,865.04,17.0,6858,7526,-668,-8.8758968908
01217,北海道,江別市,江別市,120677,123722,-3045,-2.4611629298,187.38,644.0,51932,51170,762,1.4891538011
01218,北海道,赤平市,赤平市,11097,12637,-1540,-12.1864366543,129.88,85.4,4947,5585,-638,-11.4234556849
01219,北海道,紋別市,紋別市,23080,24750,-1670,-6.7474747475,830.78,27.8,11095,11390,-295,-2.5899912204
01220,北海道,士別市,士別市,19930,21787,-1857,-8.5234314040,1119.22,17.8,8655,9100,-445,-4.8901098901
01221,北海道,名寄市,名寄市,29060,30591,-1531,-5.0047399562,535.20,54.3,13083,13348,-265,-1.9853161522
01222,北海道,三笠市,三笠市,9080,10221,-1141,-11.1632912631,302.52,30.0,4225,4776,-551,-11.5368509213
01223,北海道,根室市,根室市,26919,29201,-2282,-7.8148008630,506.25,65.4,11376,11897,-521,-4.3792552744
01224,北海道,千歳市,千歳市,95664,93604,2060,2.2007606513,594.50,160.9,40614,38541,2073,5.3786876314
01225,北海道,滝川市,滝川市,41209,43170,-1961,-4.5425063702,115.90,355.6,18631,18947,-316,-1.6678102074
